Rk,Name,YoB,Votes,Vote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,AB,R,H...16,HR...17,RBI,SB,BB...20,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,GS,SV,IP,H...35,HR...36,BB...37,SO,Pos Summary,G
1,Scott Rolen,6,297,76.3,99,40,17,70.1,43.6,56.9,56.3,7398,1211,2077,316,1287,118,899,0.281,0.364,0.49,0.855,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*5/H,2038
2,Todd Helton ,5,281,72.2,175,59,17,61.8,46.6,54.2,53.4,7962,1401,2519,369,1406,37,1335,0.316,0.414,0.539,0.953,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3H/7D9,2247
3,Billy Wagner,8,265,68.1,107,24,16,27.7,19.8,23.7,32.5,20,1,2,0,1,0,1,0.1,0.143,0.1,0.243,-35,47,40,2.31,187,0.998,0,422,903,601,82,300,1196,*1,853
4,Andruw Jones,6,226,58.1,109,34,17,62.7,46.4,54.6,58.2,7599,1204,1933,434,1289,152,891,0.254,0.337,0.486,0.823,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*89H7D/3,2196
5,Gary Sheffield,9,214,55,158,61,22,60.5,38,49.3,56.7,9217,1636,2689,509,1676,253,1475,0.292,0.393,0.514,0.907,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9*7*5*D6H/3,2576
6,Carlos Beltrán,1,181,46.5,126,52,20,70.1,44.4,57.3,58.2,9768,1582,2725,435,1587,312,1084,0.279,0.35,0.486,0.837,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8*9*DH/73,2586
7,Jeff Kent,10,181,46.5,123,51,17,55.4,35.8,45.6,57.1,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*453H/D6,2298
8,Alex Rodriguez,2,139,35.7,390,77,22,117.6,64.3,90.9,55.5,10566,2021,3115,696,2086,329,1338,0.295,0.38,0.55,0.93,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6*5DH/3,2784
9,Manny Ramirez,7,129,33.2,226,69,19,69.3,39.9,54.6,53.4,8244,1544,2574,555,1831,38,1329,0.312,0.411,0.585,0.996,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*7*9*DH,2302
10,Omar Vizquel,6,76,19.5,120,42,24,45.6,26.8,36.2,55.5,10586,1445,2877,80,951,404,1028,0.272,0.336,0.352,0.688,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*65H4/D379,2968
11,Andy Pettitte,5,66,17,128,44,18,60.2,34.1,47.2,61.5,196,6,27,1,13,0,6,0.138,0.163,0.184,0.346,-10,256,153,3.85,117,1.351,521,0,3316,3448,288,1031,2448,*1/H,531
12,Bobby Abreu,4,60,15.4,95,54,18,60.2,41.6,50.9,56.7,8480,1453,2470,288,1363,400,1476,0.291,0.395,0.475,0.87,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9DH7/8,2425
13,Jimmy Rollins,2,50,12.9,121,42,17,47.6,32.6,40.1,55.5,9294,1421,2455,231,936,470,813,0.264,0.324,0.418,0.743,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6H/D4,2275
14,Mark Buehrle,3,42,.8,52,31,16,59.1,35.8,47.4,61.5,125,4,9,1,3,0,2,0.072,0.087,0.112,0.199,-47,214,160,3.81,117,1.281,493,0,3283.1,3472,361,734,1870,*1,518
15,Francisco Rodríguez,1,42,.8,124,16,16,24.2,17.6,20.9,32.5,2,0,1,0,0,0,0,0.5,0.5,0.5,1,178,52,53,2.86,148,1.155,0,437,976,738,98,389,1142,*1,948
16,Torii Hunter,3,27,6.9,58,34,19,50.7,30.8,40.7,58.2,8857,1296,2452,353,1391,195,661,0.277,0.331,0.461,0.793,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8*9DH/7,2372
17,Huston Street,1,1,0.3,57,23,13,14.5,12.2,13.3,32.5,2,0,0,0,0,0,0,0,0,0,0,-100,42,34,2.95,141,1.066,0,324,680,542,70,183,665,*1,668
18,Bronson Arroyo,1,1,0.3,15,15,16,23.4,22.8,23.1,61.5,629,35,81,6,29,1,14,0.129,0.148,0.183,0.331,-13,148,137,4.28,101,1.301,383,1,2435.2,2507,347,661,1571,*1/H,419
19,Mike Napoli,1,1,0.3,17,25,12,26.3,22,24.2,44.3,4572,697,1125,267,744,39,650,0.246,0.346,0.475,0.821,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3*2DH/7,1392
20,John Lackey,1,1,0.3,48,28,15,37.3,29.2,33.3,61.5,236,6,26,0,8,1,9,0.11,0.143,0.14,0.283,-24,188,147,3.92,110,1.295,446,0,2840.1,2862,319,815,2294,*1/H,448
21,R.A. Dickey,1,1,0.3,25,11,15,23.7,22.4,23,61.5,267,13,45,0,16,0,4,0.169,0.184,0.18,0.364,0,120,118,4.04,103,1.3,300,2,2073.2,2033,264,663,1477,*1/H,400
22,Jhonny Peralta,1,0,0,34,24,15,30.4,26.5,28.5,55.5,6599,841,1761,202,873,17,606,0.267,0.329,0.423,0.752,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*65H/D37,1798
23,J.J. Hardy,1,0,0,18,19,13,28.1,24,26,55.5,5805,718,1488,188,688,8,411,0.256,0.305,0.408,0.714,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6/H,1561
24,Andre Ethier,1,0,0,21,18,12,21.5,18.8,20.2,56.7,4800,641,1367,162,687,29,519,0.285,0.359,0.463,0.822,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*97H8/D3,1455
25,Jacoby Ellsbury,1,0,0,36,16,11,31.2,28,29.6,58.2,4846,749,1376,104,512,343,399,0.284,0.342,0.417,0.76,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*87H9/D,1235
26,Matt Cain,1,0,0,26,14,13,29.1,29,29.1,61.5,611,27,74,7,34,0,21,0.121,0.151,0.18,0.331,-10,104,118,3.68,108,1.228,331,0,2085.2,1849,211,712,1694,*1/H,342
27,Jered Weaver,1,0,0,47,30,12,34.6,31.2,32.9,61.5,55,3,4,0,1,0,2,0.073,0.105,0.073,0.178,-50,150,98,3.63,111,1.191,331,0,2067.1,1912,262,551,1621,*1,331
28,Jayson Werth,1,0,0,19,23,15,29.2,27.5,28.3,56.7,5484,883,1465,229,799,132,764,0.267,0.36,0.455,0.816,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9*78H/D3,1583
